Store Name (EN),Store Name (AR),Industry,Potential,Potential Score,Website,Emails,Phone Numbers,WhatsApp,Instagram,Twitter/X,TikTok,Snapchat,Categories,Online Presence,On Tabby,On Tamara,Tabby Directory Link,BNPL Services,Website Status,Description
,غترة الملكي,Fashion & Apparel,High,75,https://salla.sa/almaleki,degla.store1@gmail.com,"+966599006310, 966599006310",,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/ghtrh-almlky-018954a5-c1cd-15b8-9454-6f9305307209,split-in-4,ok,We strive to be the distinguished destination for the Eastern man to acquire the finest quality garments of luxurious craftsmanship.
,غرزة اتقان,Fashion & Apparel,High,75,https://salla.sa/mastitch.com,masteringstitch@gmail.com,+966535842773,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/ghrzh-atqan-01895467-0c02-19ed-ab82-a1191e8d1746,split-in-4,ok,A specialized store offering computer embroidery services for individuals and institutions.
,غنى الزراعية,"Home, Furniture & Appliances",High,75,https://ghina.sa,support@ghina.sa,"+966504511177, 966114488850",,,,,,"Home & Appliances, Others",Online store,Yes,,https://tabby.sa/en-SA/shop/stores/gn-lzr-y-0192e212-a96f-26aa-c94a-2c3967cd8bd0,split-in-4,ok,
,فازا فلاور - vasa flower,Flowers & Gifts,High,75,https://vasaflower.com,vasaflower@outlook.com,"+966532080869, 966532080869",,,,,,Flowers & Gifts,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/faza-flawr-vasa-flower-0189543d-eb42-fcb0-69fe-7722b080b34a,split-in-4,ok,
,فتح الجزيرة للمظلات والسواتر,Sports & Fitness,High,75,https://fatehaljazira.com.sa,fatehaljazira11@gmail.com,"+966504471402, +966541122364, 0504471402",,,,,,Fitness & Outdoor,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/fth-aljzyrh-llmzlat-walswatr-018954a6-bf69-b388-34d5-e2aca6121c44,split-in-4,ok,"Fath Al Jazeera Establishment specializes in providing high-quality and competitively priced canopies, shades, and pergolas for home gardens."
,فرة اونلاين,Fashion & Apparel,High,75,https://salla.sa/farrah,hekayh20@hotmail.com,+966557623338,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/frh-awnlayn-018d8323-a677-6daa-dd03-287aaafc32b4,split-in-4,ok,"A mediator for ordering from international websites, often offering the lowest prices. We are pleased to serve you."
,فريال بنت حسن بن محمد خليل,Automotive,High,75,https://alssene.com,alssene.1993@gmail.com,+966540313056,,,,,,Automotive,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/fryal-bnt-hsn-bn-mhmd-khlyl-0190fcba-1bd4-0d03-8e82-26fb5d435642,split-in-4,ok,All about cars and caring for them.
,فساتين طيف,Fashion & Apparel,High,75,https://salla.sa/fsatyen-ttyef,teef201460@gmail.com,+966555442385,+966555442385,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/fsatyn-tyf-01895358-704f-2882-dd70-308f748c63c9,split-in-4,ok,
,فلور قولد,General Retail,High,75,https://flowergolden.com,gold.flowerr1@gmail.com,"+966556713950, 966556713950",,,,,,Others,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/flwr-qwld-01921875-ec0c-71d4-05c8-0c87b6638ade,split-in-4,ok,
,فلورست,General Retail,High,75,https://florst-sa.com,florst.sa@gmail.com,"+966539790010, +966590470850, 966590470850",+966539790010,,,,,Others,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/flwrst-0192d796-a8d0-d6f2-b979-c65694b58935,split-in-4,ok,
,فناتك بوتيك الخبر,Flowers & Gifts,High,75,https://fanatk.com,info@fanatk.com,"+966543882554, 966138148400",,,,,,Flowers & Gifts,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/fnatk-bwtyk-alkhbr-0189535e-27a5-65f1-a703-71780d856aae,split-in-4,ok,Luxury chocolate
,فور تايم,Fashion & Apparel,High,75,https://fortime.com,cc@fortime.com,+966538574443,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/fwr-taym-0189547b-8dc4-c099-b4a7-07d907053278,split-in-4,ok,
,فوكيت للعطور,Beauty & Personal Care,High,75,https://voketshop.com,voketshopperfumes@gmail.com,"+966505577823, 05986268455, 966505577823",,,,,,Beauty & Health,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/fwkyt-llatwr-01895410-ebe0-efdf-4712-362b5deca397,split-in-4,ok,"Foket store offers a selection of international brand perfumes, niche fragrances, and inspired alternatives to popular scents."
,فولت ستور للأجهزة المنزلية,"Home, Furniture & Appliances",High,75,https://voltstore.sa,voltstore@outlook.sa,"+966563338020, 0563338020, 966563338020",+966563338020,,,,,Home & Appliances,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/fwlt-stwr-ll-jhz-lmnzly-019219ea-d4d9-230f-f61b-ec730c7dc940,split-in-4,ok,
,فون ستيشن SAU,General Retail,High,75,https://nwadir.sa,info@nwadir.sa,"+966533071113, +966551249012, 05951516491",,,,,,Others,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/fwn-styshn-sau-0189536c-ddd0-24d4-69e8-d06df34e7138,split-in-4,ok,"Noader for Communications is a Saudi brand specializing in mobile devices, computers, accessories, audio products, and gaming. We aim to offer the latest and most distinctive products in the technolog"
,فيتونيا,Flowers & Gifts,High,75,https://fittoniaapp.com,fittoniaapp@gmail.com,+966534666717,,,,,,Flowers & Gifts,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/fytwnya-0189546b-05e2-1e7c-2349-027ab23473ee,split-in-4,ok,
,فيونكا,Fashion & Apparel,High,75,https://vionka-sa.com,vionka.sa@gmail.com,+966559739859,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/fywnka-01913741-806b-39e2-3a0f-be760cec4e63,split-in-4,ok,An ideal online store to experience and showcase the unique capabilities and features of our products.
,قصر العر للعسل والعود,Grocery & Supermarket,High,75,https://qasralez.com,abo7755azlz61@aol.com,"+966530003331, 0530003331",+966530003331,,,,,Supermarket,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/qsr-alar-llasl-walawd-0191d6d6-6b0b-d34b-75d4-8bf2be8c5054,split-in-4,ok,"Qasr Al-Izz is an online store specializing in providing the finest types of oud, natural honey, saffron, and premium dates."
,قصر ميان للتجارة,Flowers & Gifts,High,75,https://postertic.com,postertic.p@gmail.com,"+966575050509, 0515600003",+966575050509,,,,,Flowers & Gifts,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/qsr-myan-lltjarh-018fece5-3f84-825b-6c3e-782480472423,split-in-4,ok,"PosterTech offers high-definition printing of any image you desire on metal boards, ensuring superior quality and vibrant colors."
,قطاف الطبيعة,Grocery & Supermarket,High,75,https://qitafaltabiea.com,qitafaltabiea@gmail.com,"+966560990290, 05223927000",,,,,,Supermarket,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/qitaf-altabiea,split-in-4,ok,
,قطرات الحياة,Electronics & Tech,High,75,https://qataratalhayaa.com,qataratalhayaa@gmail.com,+966555430353,+966555430353,,,,,Electronics,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/qtrat-alhyah-018954a0-133c-43a3-eb77-6317ba911323,split-in-4,ok,
,قماش أسود,Fashion & Apparel,High,75,https://fabric-b.com,black.fabric.sa@gmail.com,+966558471218,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/qmash-aswd-018e6fab-3791-3741-9876-a4dfefdb007f,split-in-4,ok,"We specialize in sewing abayas, available for wholesale and retail, along with selling scarves and other related accessories."
,قمة جمالك للعطور ومستحضرات التجميل,Beauty & Personal Care,High,75,https://tourmalineksa.com,tourmaline.matjar@gmail.com,+966542710335,+966542710335,,,,,Beauty & Health,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/qmh-jmalk-llatwr-wmsthdhrat-altjmyl-01895372-7fcd-b9a5-6107-f22b24846780,split-in-4,ok,
,قناص فيافي نجد,Sports & Fitness,High,75,https://fiafinged.com,gnas_alnaifat@hotmail.com,"+966582852754, 0582852754",,,,,,Fitness & Outdoor,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/fiafinged,split-in-4,ok,
,قولدا للصابون,Beauty & Personal Care,High,75,https://goldasoap.com,goldasoap@iscco.biz,+966536620140,,,,,,Beauty & Health,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/qwlda-llsabwn-0189523c-458e-64f3-bf19-db5957cc54b0,split-in-4,ok,
,قيم الجمال,Beauty & Personal Care,High,75,https://salla.sa/qyem-algmal,q.algmal@gmail.com,"+966561169986, +966565289986, 00966561169986",,,,,,Beauty & Health,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/qym-aljmal-018954b3-cad6-837c-3d42-3dd7a1b4c87d,split-in-4,ok,Beauty Values is a specialized store dedicated to enhancing your beauty.
,كاري ستور,Grocery & Supermarket,High,75,https://curry.sa,info@curry.sa,+966590000013,,,,,,Supermarket,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mw-ss-bhrt-wtwbl-kry-lltjr-01926bed-76d3-3777-6921-0e350484a97e,split-in-4,ok,Carry Store is a store that provides all spices with fast shipping service.
,كازا,Fashion & Apparel,High,75,https://kaza-in.com,kazasastore@gmail.com,+966531553034,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/kaza-018952a3-4fa0-cadc-6f43-6311234781a3,split-in-4,ok,Casa store for abayas and jalabiyas
,كاميليا الورد,Beauty & Personal Care,High,75,https://salla.sa/cameellia_rose,cameellia.rose@gmail.com,+966562278521,,,,,,Beauty & Health,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/kamylya-alwrd-01895292-bc1e-aa87-d8fb-cc4f4b5ba061,split-in-4,ok,
,كبسولة,General Retail,High,75,https://capsuleh.sa,capsuleh.sa@gmail.com,"+966550682244, 966550682244",+966550682244,,,,,Others,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/kbswlh-0189543c-5a96-d8f1-8a39-4ce7f0e145a4,split-in-4,ok,Capsule Store is a trusted retailer offering a wide range of dishwasher detergents from various brands to meet your needs and budget. Shop now for an exceptional shopping experience.
,كراج التويجري,Automotive,High,75,https://tjgarage.com,garage.twj@gmail.com,"+966555173669, 966555173669",,,,,,Automotive,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/krj-ltwyjry-01923d7e-5727-754b-c129-d6712a13ba88,,ok,
,كرناف,Fashion & Apparel,High,75,https://djnhsa.com,djnhsa@gmail.com,"+966533376915, 966555816356",+966533376915,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/krnaf-018eefc5-e4d0-7c80-de71-0ef1c1d839e5,split-in-4,ok,Specialists in prayer beads.
,كروة المطار للنقل البري,Automotive,High,75,https://karwa2030.com,karwah2030@gmail.com,"+966552491391, 966552491391",+966552491391,,,,,"Automotive, Travel",Online store,Yes,,https://tabby.sa/en-SA/shop/stores/krw-lmtr-llnql-lbry-0191d6ce-eb6e-a55f-346f-1b973a276438,split-in-4,ok,"taxi form jeddah to makkah, transportation in saudi"
,كلمة عود,Beauty & Personal Care,High,75,https://o-oud.com,x.mi@hotmail.com,"+966551249012, +966592500506",,,,,,Beauty & Health,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/klmh-awd-018953e9-8ccd-3ed0-9493-f1cfb30bb0aa,split-in-4,ok,"Oud Word is a Saudi brand specializing in perfumes, oud, roses, musk, and more. Our aim is to gain the trust of our customers by offering high-quality products. Oud Word is more than just a word."
,كمّاده,Electronics & Tech,High,75,https://taam-store.com,cs@taam-store.com,+966552463923,+966552463923,,,,,Electronics,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/kmadh-01890d36-7d49-236d-e38e-0600b3cfd4d6,split-in-4,ok,TAAM provides you with smart innovations that simplify your life and save your time.
,كنو للازياء,Fashion & Apparel,High,75,https://salla.sa/fsatyen-knw,nsren20030@gmail.com,+966567815293,+966567815293,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/knw-llazyaa-0189538b-8053-d86e-759d-7d43db85a035,split-in-4,ok,
,كوا,General Retail,High,75,https://salla.sa/qua1,qua_2023@hotmail.com,"+966560879660, 966560879660",,,,,,Others,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/kwa-018b0f46-0b56-0a82-66eb-0880a311e891,split-in-4,ok,Obtain a beIN receiver from Kowa store and enjoy the beIN receiver renewal service.
,كوالا,Fashion & Apparel,High,75,https://salla.sa/koalastore-sa,koalas.sa@hotmail.com,+966534845800,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/kwala-01895402-9a0f-4263-29eb-696b6acec708,split-in-4,ok,Welcome to Koala Store where quality and your satisfaction are our top priorities.
,كول بلس SAU,Automotive,High,75,https://detailplus-sa.com,alamer_aaa@hotmail.com,"+966560022030, 966560022030",,,,,,Automotive,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/kwl-bls-sau-01895403-1753-53be-f914-6797501a2b57,split-in-4,ok,Detail Plus offers a range of service packages designed to meet various needs. Customers can choose from multiple options tailored to enhance their experience and satisfaction.
,كونتور بودي,Fashion & Apparel,High,75,https://tot-body.com,kntorbodi@gmail.com,"+966508920400, 966508920400",,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/kwntwr-bwdy-018e1889-efea-dbe9-deaa-034b15776db7,split-in-4,ok,"A specialized store offering the best medical supports, including postpartum girdles, various types of abdominal belts, and unique women's shapewear for occasions and medical needs after surgical proc"
,كيوتشي CUTECCI,Fashion & Apparel,High,75,https://cutecci.com,cut8cci@gmail.com,"+966502070820, 0502070820, 0563900003",,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/kywtshy-cutecci-0189538e-19d9-9aa0-76ad-bae114541d03,split-in-4,ok,
,كِفّة عود,Beauty & Personal Care,High,75,https://keffaoud.com,keffaoud@gmail.com,+966550950190,,,,,,Beauty & Health,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/kifw-wd-018e9dd1-8e24-7ceb-6664-4b8f937edbf0,split-in-4,ok,We specialize in offering the highest quality Oud and Oud oil.
,لجونا بوتيك,Unclassified,High,75,https://salla.sa/laguna_boutique,lagunaboutique9@gmail.com,"+966531907740, 966531907740",,,,,,الملابس,Online store,,Yes,,,ok,
,لحظات للعطور,Beauty & Personal Care,High,75,https://moments1.com,eng.mhdsm@gmail.com,+966539881582,+966539881582,,,,,Beauty & Health,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/lhzat-llatwr-01914b68-6b62-ff62-e1b3-2ff39a195083,split-in-4,ok,"Lahzat offers a wide selection of authentic perfumes at incredible prices, ensuring the authenticity of all products. All payment methods are supported, and there is fast delivery right to your doorst"
,لعبة عقل,Kids & Toys,High,75,https://1mindgame.com,mindgamestore1@gmail.com,+966501071565,,,,,,Kids & Toys,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/labh-aql-018952df-30be-d8f3-fbbd-3746a3931217,split-in-4,ok,"A Saudi toy store specializing in entertainment and educational games that develop cognitive building, offering opportunities for learning and acquiring new skills, and enhancing motor skills."
,لمسة,Beauty & Personal Care,High,75,https://momentsa.net,store.4gt@gmail.com,"+966505746477, 966505746477",+966505746477,,,,,Beauty & Health,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/lmsh-018952ca-c4d0-3b7c-4403-ec9547bf55a9,,ok,"MOMENT is a Saudi brand established in 2018, specializing in the world of technology and international accessories. We strive to offer the highest standards of quality at competitive prices."
,لمسة مزايا,Fashion & Apparel,High,75,https://salla.sa/www.mazayatouch.com,mazayatouchksa@gmail.com,+966545402091,+966545402091,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/lmsh-mzaya-018d4fe6-9d91-91ee-e62b-25697a325fd3,split-in-4,ok,Mazaya Store specializes in selling the finest and highest quality prayer beads and elegance accessories with the latest and best materials at competitive prices.
,لوازم المناحل,General Retail,High,75,https://apiariessupplies.com.sa,alnahalaljwal@gmail.com,"+966542038777, 966542038777",,,,,,Others,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/lwzm-lmnhl-018fbe4e-df54-ff98-dadf-0347da892190,split-in-4,ok,
,لومير,Fashion & Apparel,High,75,https://lumirgold.com,lumirgold@gmail.com,+966538558808,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/lwmyr-018e50d8-78e4-801a-f4c7-b0fcb66b5489,split-in-4,ok,"Loomir offers a variety of products and services designed to enhance your lifestyle. With a focus on quality and innovation, Loomir caters to customers looking for unique items across multiple categor"
,ليدستور٢,Automotive,High,75,https://led-store2.com,solano800@gmail.com,+966565561733,,,,,,Automotive,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/ledstore2,,ok,Selling led car accessories and more.
,ليقنت,Fashion & Apparel,High,75,https://ligant.online,ligant001@gmail.com,+966533722076,+966533722076,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/lyqnt-01895375-3b4f-da95-1f4c-52cb542b0358,split-in-4,ok,"Liqnet is a leading store specializing in high-quality men's watches with modern designs. It offers discounts on all products, providing a unique shopping experience."
,مؤسسة /محمد حسين عمر موسى للخمات التجارية,Fashion & Apparel,High,75,https://leen-fashion.com?expires=1729461635&identifier=1543728952&signature=ee13ac27d8a0fbd8a175dfb2a6efaf253ad032c16654b50d063873099fde11aa,leenfashion77@gmail.com,"+966546025638, 0546025638, 966546025638",+966546025638,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mw-ss-mhmd-hsyn-mr-mws-llkhmt-ltjry-0192b38b-b0de-4c25-100f-f87110cf9b21,split-in-4,ok,
,مؤسسة آفاق التجدد للتجارة,"Home, Furniture & Appliances",High,75,https://meezbain.com,contact@meezbain.com,+966560815583,+966560815583,,,,,Home & Appliances,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-aafaq-altjdd-lltjarh-018fcdb2-3e14-a75b-bfbf-b8a10c3699ee,split-in-4,ok,"Mazbain Store offers the finest multi-sized rocking cradles made from high-quality, durable materials. Designed with love and confidence, these cradles ensure comfort and safety for your child's sleep"
,مؤسسة أثير العقاب التجارية,Fashion & Apparel,High,75,https://oqab.store,contact@oqab.store,+966552229048,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-athyr-alaqab-altjaryh-019077b9-a8e7-0ba4-2b36-b487ef7943e4,split-in-4,ok,"Uqab was established to assist you in taking the next step, breaking barriers, lifting heavier weights, and running longer distances. With a distinctive athletic appearance designed for optimal perfor"
,مؤسسة أجياد المستقبل لتقنية المعلومات,Fashion & Apparel,High,75,https://wowtech24.com,ajyad1@wowtech24.com,"+966502090299, +966535587808, 0560371398",+9660560371398,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-ajyad-almstqbl-ltqnyh-almalwmat-018e5ad9-35ab-20a3-95b2-f64aac87cd6b,split-in-4,ok,"Explore a remarkable range of original and exclusive Swatch watches available in Saudi Arabia. Renowned for their distinctive Swiss quality and impressive designs, Swatch caters to diverse preferences"
,مؤسسة أدوات حلا الكيك,General Retail,High,75,https://hallaalcake.com,moov.ai2021@gmail.com,"+966561559949, 05461600003, 966561559949",,,,,,Others,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-adwat-hla-alkyk-018f2467-a8eb-42bb-afcc-3eeba0e1fef8,split-in-4,ok,"Hala Cake Tools is a store offering a wide range of baking and chocolate-making supplies. Our product categories include chocolate molds, cake molds, chocolate transfer sheets, and various kitchen too"
,مؤسسة أرت ألاضواء التجارية,"Home, Furniture & Appliances",High,75,https://art-aladwa.com,art.aladwa@gmail.com,+966539954322,,,,,,Home & Appliances,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-art-aladhwaa-altjaryh-018954ad-df37-3028-fc34-b1a67207e11a,split-in-4,ok,
,مؤسسة أساس الرياضة للمعدات الرياضية,Kids & Toys,High,75,https://powertoys2.com,powertoys76@gmail.com,+966504672612,,,,,,Kids & Toys,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-asas-alryadhh-llmadat-alryadhyh-018da67c-6071-a7a9-c4db-2b22ab4fa29c,split-in-4,ok,A Saudi store dedicated to bringing joy to both adults and children by offering high-quality scooters and electric toys for kids.
,مؤسسة أسوار المنورة التجارية,Grocery & Supermarket,High,75,https://aswarmn.com,aswarmnawra@gmail.com,"+966555300158, +966569421680, 966555300158",,,,,,Supermarket,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-aswar-almnwrh-altjaryh-01919d89-f2f7-ca77-e327-bd59982985ba,split-in-4,ok,"A distinguished Saudi online store specializing in original Asfour kohl, Isfahani kohl, Madinah henna, natural herbs, and fresh spices. Shop now at the best and lowest prices."
,مؤسسة أغصان العباءات التجارية,Fashion & Apparel,High,75,https://sheikhmt.com,sheikha.mtj@gmail.com,+966551934021,,,,,,Fashion,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-aghsan-alabaaat-altjaryh-018f4d59-4f9f-eed6-b3d6-bbb065bde053,split-in-4,ok,We offer the finest fabrics for luxurious abayas and shawls.
,مؤسسة أغنام الوادي لتجارة الجملة والتجزئة,Grocery & Supermarket,High,75,https://aghnam-alwadi.com,aghnam.alwadi@gmail.com,"+966551558847, 0551558847, 966551558847",+966551558847,,,,,Supermarket,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-aghnam-alwady-ltjarh-aljmlh-waltjzeh-018df4b1-9d10-c44a-0287-48aebbfc63cd,split-in-4,ok,"We offer the finest quality meat, including chilled lamb that arrives by air within hours of slaughter, as well as Naeemi lamb and veal. Fresh local meat is available, delivered directly to your doors"
,مؤسسة أنسجة المتقدمة للتجارة,"Home, Furniture & Appliances",High,75,https://fundora.sa,fundorastore@gmail.com,"+966558787965, 05397449239",+966558787965,,,,,Home & Appliances,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-ansjh-almtqdmh-lltjarh-018e5b25-44c4-81c6-4f2a-1a3ceab0963c,split-in-4,ok,"Specialists in hotel quality bed linens, luxurious cotton products, pillows, mattresses, mattress toppers, and everything related to the bedroom."
,مؤسسة أوجي الطبية,Beauty & Personal Care,High,75,https://oge-derma-sa.com,info@oge-derma-sa.com,+966505422000,+966505422000,,,,,Beauty & Health,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-awjy-altbyh-018e55f7-c286-8f2b-1f77-80ba95c7cdc7,split-in-4,ok,"Oji Derma offers skincare products suitable for all skin types, including sensitive, oily, dry, and combination skin. Choose from a range of original global products for a healthy and radiant complexi"
,مؤسسة ابداع الرواد للأجهزة المنزلية,"Home, Furniture & Appliances",High,75,https://salla.sa/abdaa-alrwad,er3est@gmail.com,+966500059042,,,,,,Home & Appliances,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mw-ss-bd-lrwd-ll-jhz-lmnzly-0192d253-823a-d5cf-ce59-8b769363df92,split-in-4,ok,
,مؤسسة ابراهيم حمد ابراهيم العلوي التحارية,Electronics & Tech,High,75,https://smilecard1.com,ibrahim-alalawi9999@hotmail.com,"+966555768872, +966559585949",+966559585949,,,,,Electronics,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-abrahym-hmd-abrahym-alalwy-altharyh-01907c60-8e89-1823-f480-5f037767159f,split-in-4,ok,We are a Saudi store managed by ambitious young individuals. Our online shop ensures that our products and offers reach you wherever you are across the Kingdom of Saudi Arabia. We take pride in servin
,مؤسسة ابراهيم خالد السويكت للتجارة,"Home, Furniture & Appliances",High,75,https://iks-tools.com,info@iks.com.sa,+966538893311,,,,,,Home & Appliances,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-abrahym-khald-alswykt-lltjarh-018e31c2-326d-f46f-8422-b6198fa8565a,split-in-4,ok,"Specialists in selling high-quality light construction tools and equipment at competitive prices, along with after-sales services."
,مؤسسة اتجاهات السفر الاربعة 3M SAU,Automotive,High,75,https://3malmadina.com,3m.almadina@gmail.com,+966505933747,,,,,,Automotive,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-atjahat-alsfr-alarbah-3m-sau-018953a7-127b-8a18-b212-b58f7061cb1f,split-in-4,ok,"An authorized center by 3M, specializing in car care services including polishing, tinting, protection, and nano ceramic coating."
,مؤسسة اتحاد اليمامة الطبية,Beauty & Personal Care,High,75,https://unidovestore.com,naturalbiotin@gmail.com,"+966554477609, +966564477609, 966564477609",,,,,,Beauty & Health,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-athad-alymamh-altbyh-018eead7-59d8-c485-8b2d-0a2da953c8c7,split-in-4,ok,"Our merchant offers a range of hair care products including hair brightening creams, serums, shampoos, and sun protection products. All items are formulated with natural ingredients and are available "
,مؤسسة اتكاء,"Home, Furniture & Appliances",High,75,https://atakaastore.com,atakaa1.sa@gmail.com,+966553656861,,,,,,Home & Appliances,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-atkaa-018de98e-07d7-cdf3-1318-8456eee02dda,split-in-4,ok,"At Etka, we are a specialized online store dedicated to offering a diverse range of comfortable beds. We prioritize quality by ensuring that all our products are made from high-quality materials, guar"
,مؤسسة احلى الشفاة التجارية,Beauty & Personal Care,High,75,https://sweetlips1.com/ar,sweetlipss222@gmail.com,"+966568278181, 966568278181",+966568278181,,,,,Beauty & Health,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mw-ss-hl-lshf-ltjry-0191453a-d38f-45ae-6bf4-8c5aef133dec,split-in-4,ok,
,مؤسسة احمد ويزن لقطع الغيار,Automotive,High,75,https://al-muhmmadi.com/ar,almohammadiest118@gmail.com,"+966545336885, +966551249012, 0545336885, 966545336884",+966545336884,,,,,Automotive,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-ahmd-wyzn-lqta-alghyar-018b41ea-0797-57df-2a03-b87eb41de21e,"paymentLink, split-in-4",ok,"Al-Mohammadi offers spare parts for Kia and Hyundai vehicles, crafted with Saudi craftsmanship. We are at your service 24/7."
,مؤسسة اختيار العميد,Flowers & Gifts,High,75,https://burayan-vape.com,bwwyan066@gmail.com,+966563513628,,,,,,Flowers & Gifts,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-akhtyar-alamyd-0190aff9-688e-8154-0a6d-cb6ee31c0191,split-in-4,ok,"Bou Rayan Vape is the leading vape store in Saudi Arabia, offering a wide range of shisha, cigarette alternatives, electronic vape flavors, and accessories. We ensure quality products at competitive p"
,مؤسسة ارض البخور للتجارة,Beauty & Personal Care,High,75,https://landofincens.com,landofincense@gmail.com,"+966507228133, 966507228133",,,,,,Beauty & Health,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mussh-ardh-albkhwr-lltjarh-018fb8c6-9c04-09d0-74e7-e2ace6dba80b,split-in-4,ok,"Our store specializes in oud and oud oil, carefully selecting the finest products for you."
,مؤسسة ارض الطفل لالعاب الاطفال,Kids & Toys,High,75,https://kidsland-sa.com/ar,info@kidsland-sa.com,"+966501931400, +966551249012, 966501931400",+966501931400,,,,,Kids & Toys,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mw-ss-rd-ltfl-ll-b-ltfl-0192a928-c93d-22e1-9aea-e04e5a920d1c,split-in-4,ok,
,مؤسسة اركان الاواني للتجارة,"Home, Furniture & Appliances",High,75,https://arkanalawani.com,info@arkanalawani.com,"+966539434004, +966553137125, 00966553137125",,,,,,Home & Appliances,Online store,Yes,,https://tabby.sa/en-SA/shop/stores/mw-ss-rkn-lwny-lltjr-01922dd9-203f-477f-1a01-e08b5cd72415,split-in-4,ok,"Utensils and home appliances We are always keen to provide a high quality product, specialized in providing Kuwaiti tea pots and tea pits"
